CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR,hasRd,numLE_1,isRampart_1,isCircle_1,numLE_2,isRampart_2,isCircle_2,numLE_3,isRampart_3,isCircle_3,isHu_1,ejc_shape_1,isHu_2,ejc_shape_2,isHu_3,ejc_shape_3,ejc_svg_1,ejc_svg_2,ejc_svg_3
10-0-009415,27.04092171,6.659695866,27.04091221,6.659706453,14.67312065,0.169301545,14.73853602,14.58380073,0.144523883,1.01061008,117.7380978,0.000421776,0.00048188,0.061262431,0.061399191,18.83959903,0.040081298,0.005979051,1,94,3,Rd/MLERS,HuBL,,,CpxSuPt,Terraced,Slump Deposits,,,3,2,3,1,3,1,0,3,1,0,3,1,0,1,BL,1,BL,1,BL,BL_S,BL_S,BL_S
16-1-001894,-46.5633641,145.7283814,-46.56335529,145.7284226,4.314557855,0.064700273,4.393605875,4.225118485,0.274273659,1.039877554,48.23812234,0.000210497,0.000331128,0.031632398,0.032060421,8.823575369,0.035268482,0.010877209,1,33,2,Rd/DLEPC,SmSL,,,Smp,,Floor Deposits,,,3,3,2,1,2,0,1,2,0,1,,,,0,SL,0,SL,,,SL_C,SL_C,
07-1-011336,-17.6546137,331.1021504,-17.65515258,331.1018597,20.2292944,0.544651725,21.25109799,19.14869628,0.433676664,1.109793465,30.06235365,0.000751929,0.000828673,0.112752682,0.106052118,2.556209653,0.014359102,0.008511769,1,126,3,MLERS,HuBL,,,CpxFF,,Floor Deposits / Slump Deposits,,,2,2,1,0,3,1,0,3,1,0,3,1,0,1,BL,1,BL,1,BL,BL_S,BL_S,BL_S
15-1-026068,-24.28512569,125.664386,-24.28511286,125.6643674,3.204608672,0.07974038,3.289019237,3.112788538,0.322942858,1.056615057,84.6226275,0.000298664,0.000309044,0.043872994,0.042196516,10.73125751,0.052748828,0.020095041,1,23,1,SLEPS,HuSL,,,Smp,,,,,4,3,4,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
07-1-007995,-11.82428263,310.282969,-11.82427582,310.2829535,4.894102554,0.090026682,4.98745088,4.79620185,0.274265704,1.0398751,128.3804463,0.000318588,0.000342383,0.049837239,0.04652115,11.28704847,0.046956034,0.014481263,1,31,2,DLEPC/Rd,SmSL,,,Smp,,,,,3,2,3,1,2,0,1,2,0,1,,,,0,SL,0,SL,,,SL_C,SL_C,
11-1-007077,-18.22595988,71.77589738,-18.22571175,71.77594558,12.08974251,0.361798126,12.25597425,11.84529405,0.256698889,1.034670325,64.79591811,0.000733551,0.000794048,0.105818806,0.107363912,12.45329919,0.045551941,0.012952001,1,77,2,DLERS,HuSL,,,CpxCPt,,Slump Deposits,,,3,2,3,0,2,1,0,2,1,0,,,,1,SL,1,SL,,,SL_S,SL_S,
04-1-010503,-70.2248072,240.7070042,-70.22484613,240.7069891,9.139527523,0.159364832,9.267081036,8.994313111,0.240835584,1.03032671,35.00602454,0.000355949,0.001079182,0.052632812,0.052479122,8.897442893,0.031848528,0.008389477,1,56,1,SLEPS,SmSL,,,CpxFF,,Floor Deposits,,,3,2,2,0,1,0,0,,,,,,,0,SL,,,,,SL_S,,
14-1-012604,2.867239584,118.6479865,2.867272386,118.6479086,12.5889384,0.203027319,13.06190858,12.11207793,0.374362594,1.078420124,56.61561178,0.000302937,0.000294426,0.04453387,0.042487405,2.115339742,0.011235623,0.005275378,0.96140426,72,1,SLERS,HuSL,,,CpxSuPt,Terraced,Slump Deposits,,,4,2,3,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
07-1-026212,-40.99751274,341.6838045,-40.99765657,341.6839481,6.778408337,0.165251092,7.187129695,6.433079094,0.445899151,1.11721457,174.0817361,0.000244739,0.00039059,0.043124828,0.035007409,2.428754401,0.01455447,0.00904988,1,49,1,SLEPS,HuSL,,,,,Floor Deposits,,,3,3,2,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
06-0-000032,34.95909561,354.7671056,34.95913404,354.7667786,26.83187686,0.706933306,27.06607214,26.39801069,0.220807607,1.025307265,61.17025279,0.001092497,0.001390518,0.157297398,0.164546261,11.36384913,0.036714002,0.008737916,1,180,2,Rd/DLEPS,HuBL,,,CpxSuPt,Terraced,Landslide Deposits / Floor Deposits,,,3,2,3,1,2,0,0,2,0,0,,,,1,BL,1,BL,,,BL_S,BL_S,
